"Date","Time","Bin","Lat","Long","Observer","object","size"
2011-03-15,18991230,"B",41.194129,-71.323851,"KW",4559,2
2011-02-23,18991230,"A",41.194603,-71.15729,"KW",4563,1
2011-05-02,18991230,"B",41.194783,-70.947886,"KW",4567,1
2011-01-28,18991230,"B",41.196172,-71.280246,"JV",4584,1
2011-02-17,18991230,"A",41.196451,-71.692508,"KW",4588,1
2011-11-26,18991230,"B",41.196732,-71.32322,"JV",4590,1
2011-02-23,18991230,"B",41.196881,-70.908137,"KW",4593,1
2011-05-13,18991230,"A",41.196884,-71.766026,"KW",4594,3
2011-02-23,18991230,"B",41.197136,-71.529886,"JV",4601,1
2011-12-13,18991230,"A",41.197345,-71.694569,"Ellen",4605,2
2011-05-02,18991230,"A",41.197897,-71.077854,"JV",4617,1
2011-01-28,18991230,"A",41.197981,-71.656151,"KW",4620,1
2011-05-02,18991230,"A",41.199612,-71.327158,"JV",4647,2
2011-02-23,18991230,"B",41.20202,-71.655242,"KW",4682,1
2011-02-23,18991230,"B",41.202391,-71.157482,"KW",4690,1
2011-01-28,18991230,"A",41.202491,-71.656457,"JV",4694,15
2011-01-28,18991230,"C",41.202491,-71.656457,"KW",4695,2
2011-02-23,18991230,"A",41.203371,-70.908254,"KW",4708,1
2011-05-02,18991230,"A",41.204434,-71.690882,"KW",4718,1
2011-05-31,18991230,"A",41.204685,-70.99173,"JV",4721,1
2011-05-13,18991230,"A",41.206348,-71.766963,"JV",4740,1
2011-02-23,18991230,"A",41.206821,-71.531246,"KW",4742,2
2011-12-13,18991230,"A",41.207553,-71.695349,"Ellen",4753,1
2011-12-13,18991230,"C",41.207553,-71.695349,"Ellen",4755,1
2011-04-19,18991230,"B",41.207684,-71.73669,"KW",4757,1
2011-04-19,18991230,"B",41.207737,-71.239491,"KW",4758,1
2011-01-28,18991230,"A",41.208352,-70.908582,"KW",4764,1
2011-04-07,18991230,"A",41.208377,-71.650784,"JV",4766,1
2011-02-23,18991230,"A",41.208495,-71.406448,"KW",4771,1
2011-03-04,18991230,"A",41.20881,-71.607568,"KW",4778,1
2011-04-19,18991230,"B",41.209065,-71.61241,"JV",4783,2
2011-12-13,18991230,"A",41.209414,-71.695495,"KW",4789,1
2011-12-04,18991230,"B",41.209644,-71.654964,"KW",4794,1
2011-02-23,18991230,"B",41.210093,-71.531627,"JV",4804,1
2011-12-04,18991230,"C",41.210179,-71.532142,"KW",4807,1
2011-03-04,18991230,"A",41.210257,-71.119327,"KW",4808,1
2011-01-28,18991230,"A",41.210265,-70.908996,"KW",4809,1
2011-09-12,18991230,"A",41.210433,-70.911461,"JV",4811,1
2011-05-02,18991230,"B",41.2109,-70.949116,"KW",4816,2
2011-05-02,18991230,"B",41.211041,-71.691371,"KW",4819,1
2011-02-23,18991230,"A",41.211194,-71.53173,"KW",4825,1
2011-02-23,18991230,"B",41.211947,-70.908514,"KW",4833,1
2011-01-28,18991230,"B",41.212491,-71.657099,"KW",4841,12
2011-01-28,18991230,"C",41.212948,-71.537453,"KW",4859,3
2011-04-19,18991230,"A",41.213083,-71.737373,"KW",4863,3
2011-12-04,18991230,"B",41.213407,-71.655171,"KW",4867,1
2011-02-07,18991230,"A",41.213463,-71.605931,"KW",4868,1
2011-05-02,18991230,"A",41.21389,-71.691617,"KW",4871,1
2011-12-13,18991230,"A",41.214022,-71.695929,"KW",4874,1
2011-04-19,18991230,"A",41.214048,-71.61355,"KW",4875,2
2011-02-23,18991230,"B",41.214523,-71.531948,"KW",4883,1
2011-01-28,18991230,"A",41.214995,-71.406753,"JV",4892,1
2011-01-28,18991230,"A",41.215161,-71.537679,"KW",4897,1
2011-01-28,18991230,"A",41.215844,-71.65697,"KW",4906,5
2011-04-07,18991230,"A",41.215992,-70.917452,"KW",4915,1
2011-12-04,18991230,"A",41.216213,-71.532706,"Ellen",4920,1
2011-02-23,18991230,"A",41.216256,-71.656918,"KW",4922,1
2011-12-09,18991230,"B",41.21626,-71.613514,"KW",4923,1
2011-04-19,18991230,"A",41.216361,-71.737663,"KW",4924,1
2011-12-04,18991230,"A",41.217224,-71.532807,"Ellen",4940,1
2011-02-23,18991230,"B",41.217869,-71.532133,"JV",4944,1
2011-02-23,18991230,"A",41.21842,-71.77981,"JV",4957,1
2011-05-02,18991230,"B",41.218669,-71.080072,"JV",4960,1
2011-04-19,18991230,"A",41.218975,-71.12472,"KW",4968,1
2011-04-07,18991230,"A",41.219197,-70.917314,"KW",4969,1
2011-03-04,18991230,"B",41.219214,-71.241884,"KW",4970,1
2011-02-23,18991230,"B",41.219297,-71.657204,"KW",4973,4
2011-01-28,18991230,"B",41.220638,-71.538166,"KW",4995,2
2011-04-19,18991230,"A",41.221127,-71.489395,"JV",5003,1
2011-02-07,18991230,"A",41.221482,-71.606624,"KW",5009,1
2011-05-02,18991230,"A",41.22234,-70.949444,"JV",5024,1
2011-05-13,18991230,"B",41.223225,-71.165696,"KW",5040,2
2011-04-07,18991230,"B",41.22453,-70.917141,"KW",5054,1
2011-02-23,18991230,"A",41.22455,-71.283304,"KW",5057,1
